MSOA21CD,RUC21CD,RUC21NM,Rural Urban flag,RUC21 settlement class,Proportion of population in settlement class (%),RUC21 relative access,Proportion of population in relative access category (%)
E02003839,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003840,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,85.2,Nearer to a major town or city,57.4
E02003841,UN1,Urban: Nearer to a major town or city,Urban,Urban,97.8,Nearer to a major town or city,100
E02003842,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,46.4,Nearer to a major town or city,100
E02003843,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003844,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003845,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003846,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003847,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003848,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003849,UN1,Urban: Nearer to a major town or city,Urban,Urban,97.5,Nearer to a major town or city,100
E02003850,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003851,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003852,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003853,UN1,Urban: Nearer to a major town or city,Urban,Urban,94,Nearer to a major town or city,100
E02003854,UN1,Urban: Nearer to a major town or city,Urban,Urban,96.7,Nearer to a major town or city,100
E02003855,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003856,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003857,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003858,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003859,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,72.3,Nearer to a major town or city,100
E02003860,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003861,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003862,UN1,Urban: Nearer to a major town or city,Urban,Urban,60.8,Nearer to a major town or city,100
E02003863,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003864,UN1,Urban: Nearer to a major town or city,Urban,Urban,64.9,Nearer to a major town or city,100
E02003865,UN1,Urban: Nearer to a major town or city,Urban,Urban,97.2,Nearer to a major town or city,100
E02003866,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003867,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003868,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003869,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003870,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003871,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003872,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,67.5,Nearer to a major town or city,68.2
E02003873,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003874,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,90.5,Nearer to a major town or city,100
E02003875,RSN1,Smaller rural: Nearer to a major town or city,Rural,Smaller rural,87.8,Nearer to a major town or city,100
E02003876,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
E02003877,RLN1,Larger rural: Nearer to a major town or city,Rural,Larger rural,55.7,Nearer to a major town or city,100
E02003878,UN1,Urban: Nearer to a major town or city,Urban,Urban,49.3,Nearer to a major town or city,93.5
E02003879,UN1,Urban: Nearer to a major town or city,Urban,Urban,100,Nearer to a major town or city,100
