lsoacode,dwe_p45pc,dwe_p16pc,dwe_modbp,dwe_mo20bp,dwe_medbp,dwe_mdargb
E01021276,0.9986,0.0014,H,H,H,"rgb(254,239,0)"
E01021277,0.9534,0.0189,H,H,H,"rgb(242,215,11)"
E01021278,0.9866,0.1415,L,L,L,"rgb(213,118,18)"
E01021266,1,0,F,F,F,"rgb(0,255,40)"
E01021268,0.9986,0,F,F,F,"rgb(124,187,29)"
E01021318,1,0.1219,F,F,F,"rgb(94,170,0)"
E01021320,0.9985,0,E,E,F,"rgb(107,249,58)"
E01021321,0.9986,0.0014,F,F,F,"rgb(22,246,13)"
E01021286,0.9987,0,G,G,G,"rgb(215,210,0)"
E01021288,0.9808,0,G,G,H,"rgb(217,174,4)"
E01021289,0.9469,0,J,J,J,"rgb(162,168,16)"
E01021290,0.9986,0.0141,J,J,J,"rgb(237,154,0)"
E01021291,1,0.1288,F,F,F,"rgb(58,220,0)"
E01021287,1,0.0016,F,F,F,"rgb(60,246,0)"
E01021292,0.9861,0,F,F,F,"rgb(91,230,5)"
E01021293,1,0.0256,F,F,F,"rgb(28,248,0)"
E01021298,1,0,F,F,F,"rgb(1,254,0)"
E01021319,0.999,0.1261,F,F,F,"rgb(71,183,0)"
E01021313,0.7273,0.0526,H,H,H,"rgb(168,199,72)"
E01021314,0.982,0.0016,G,G,H,"rgb(192,234,23)"
E01021315,1,0.0014,H,H,H,"rgb(191,245,16)"
E01021316,0.9525,0.0011,H,H,H,"rgb(213,179,20)"
E01021317,1,0,G,G,G,"rgb(197,255,0)"
E01021322,0.9969,0.0156,F,F,F,"rgb(100,241,39)"
E01021323,0.9985,0.003,G,G,G,"rgb(130,237,31)"
E01021324,0.9956,0.0015,G,G,G,"rgb(145,200,40)"
E01021325,1,0,G,G,G,"rgb(185,242,0)"
E01021327,0.9987,0.0013,E,E,F,"rgb(116,227,61)"
E01021294,0.9987,0.1455,F,F,F,"rgb(80,217,7)"
E01021295,0.9858,0,F,F,F,"rgb(95,250,3)"
E01021296,1,0.2474,L,L,L,"rgb(135,122,0)"
E01021297,0.9649,0.1885,F,F,F,"rgb(81,183,9)"
E01021299,0.8982,0.0016,F,F,F,"rgb(15,235,29)"
E01021280,0.9665,0.0016,J,J,J,"rgb(242,155,8)"
E01021281,0.9637,0.0033,I,I,I,"rgb(210,206,12)"
E01021282,0.7917,0.0064,H,H,H,"rgb(182,187,59)"
E01021283,0.9985,0.0015,H,H,H,"rgb(254,241,0)"
E01021284,1,0,J,J,J,"rgb(255,139,0)"
E01021285,0.9609,0.0018,J,J,J,"rgb(230,159,13)"
E01021300,0.9989,0.0148,I,I,I,"rgb(179,206,54)"
E01021310,0.844,0.0042,J,J,J,"rgb(213,171,40)"
E01021311,0.7776,0.0158,H,H,H,"rgb(194,226,56)"
E01021326,0.9986,0.0028,E,E,G,"rgb(134,213,55)"
E01021328,0.9953,0,G,G,G,"rgb(131,249,13)"
E01021375,0.5237,0,A,A,E,"rgb(103,115,133)"
E01021376,0.7442,0.0215,A,A,H,"rgb(160,156,68)"
E01021414,0.5351,0.0247,A,A,E,"rgb(98,126,128)"
E01021430,0.7194,0.0168,G,G,G,"rgb(132,168,88)"
E01021398,0.5177,0.0184,A,A,E,"rgb(98,105,139)"
E01021406,0.4518,0.0227,A,A,D,"rgb(89,96,148)"
E01021407,0.5696,0.024,A,A,F,"rgb(116,125,119)"
E01021382,0.7261,0.2986,L,L,G,"rgb(132,98,76)"
E01021397,0.6795,0.141,L,L,I,"rgb(163,93,83)"
E01021399,0.8611,0.0179,G,G,G,"rgb(138,211,72)"
E01021400,0.6008,0.0039,A,A,F,"rgb(113,136,116)"
E01021387,0.5391,0.0212,A,A,G,"rgb(129,103,117)"
E01021388,0.4221,0.0025,A,A,D,"rgb(94,105,154)"
E01021391,0.9971,0.0029,F,F,F,"rgb(99,219,42)"
E01021392,0.6766,0.0012,H,H,G,"rgb(141,169,91)"
E01021393,0.5712,0.0015,A,X,F,"rgb(92,166,118)"
E01021404,0.6407,0.0328,G,G,G,"rgb(114,147,103)"
E01021411,0.6085,0.0669,A,A,E,"rgb(98,125,124)"
E01021412,0.5822,0.0056,A,A,F,"rgb(55,143,117)"
E01021413,0.5508,0.0232,A,A,E,"rgb(76,133,138)"
E01021389,0.9272,0.1559,L,L,J,"rgb(215,127,20)"
E01021390,0.8237,0.0821,J,J,H,"rgb(176,150,47)"
E01021408,0.5916,0.078,A,A,F,"rgb(115,131,111)"
E01021409,0.6778,0.0174,H,H,G,"rgb(141,149,92)"
E01021410,0.7534,0.0491,I,I,G,"rgb(147,148,69)"
E01021349,1,0.002,H,H,H,"rgb(254,221,0)"
E01021351,0.9965,0,J,J,J,"rgb(254,133,1)"
E01021352,0.9951,0.0016,H,H,H,"rgb(233,207,1)"
E01021355,0.6393,0.0022,L,X,G,"rgb(122,120,98)"
E01021356,0.6899,0.0341,F,X,F,"rgb(99,160,102)"
E01021381,0.686,0.0529,F,X,F,"rgb(110,166,95)"
E01021354,0.9822,0,G,G,G,"rgb(197,237,11)"
E01021357,0.768,0.0159,I,I,H,"rgb(149,139,86)"
